AccX,AccY,AccZ
0.024,-0.023,-9.865
0.019,-0.041,-9.893
0.013,-0.036,-9.888
0.002,-0.001,-9.849
0.031,-0.065,-9.872
0.048,-0.059,-9.872
0.016,-0.033,-9.884
0.022,-0.052,-9.859
0.036,-0.051,-9.856
0.033,-0.047,-9.862
0.018,-0.039,-9.854
0.054,-0.067,-9.858
-0.021,0.001,-9.897
0.017,-0.042,-9.879
0.04,-0.037,-9.883
0.027,-0.038,-9.902
0.031,-0.072,-9.894
0.007,0.003,-9.902
-0.012,0.029,-9.87
0.021,-0.036,-9.867
0.037,-0.073,-9.857
0.026,-0.035,-9.879
0.029,-0.037,-9.817
0.002,0.035,-9.899
0.042,-0.056,-9.822
0.033,-0.044,-9.898
-0.005,-0.025,-9.808
0.034,-0.034,-9.821
0.019,-0.057,-9.88
0.021,-0.036,-9.836
-0.013,-0.012,-9.812
0.029,-0.016,-9.871
0.005,-0.035,-9.865
0.015,-0.025,-9.882
0.007,-0.014,-9.88
0.014,-0.041,-9.852
0.015,-0.073,-9.866
0.027,-0.023,-9.834
-0.002,-0.012,-9.911
-0.008,0.021,-9.806
0.006,-0.009,-9.921
0.048,-0.065,-9.883
0.002,0.001,-9.895
0.045,-0.054,-9.851
0.027,-0.04,-9.871
0.02,-0.035,-9.894
0.018,-0.054,-9.881
0.021,-0.002,-9.867
0.006,0,-9.812
0.014,0.005,-9.867
-0.006,-0.011,-9.898
-0.005,-0.006,-9.889
0.021,-0.036,-9.85
0.039,-0.043,-9.898
-0.002,0.007,-9.868
0.014,-0.031,-9.871
-0.002,-0.013,-9.829
0.022,-0.024,-9.863
0.025,-0.02,-9.836
0.005,0.001,-9.924
-0.007,-0.046,-9.822
0.004,-0.026,-9.849
0.024,-0.042,-9.838
0.023,-0.047,-9.869
0.037,-0.056,-9.86
0.003,0.024,-9.883
-0.005,-0.028,-9.858
0.006,-0.024,-9.829
0.006,-0.018,-9.888
0.024,-0.05,-9.868
0.028,-0.055,-9.891
0.014,0,-9.86
0.035,-0.07,-9.908
-0.007,0,-9.919
0.005,-0.03,-9.823
0.022,-0.028,-9.875
-0.012,-0.007,-9.92
0.026,-0.038,-9.889
0.032,-0.034,-9.913
0.034,-0.025,-9.875
0.021,-0.04,-9.832
0.027,-0.01,-9.861
0.057,-0.082,-9.903
0.043,-0.06,-9.857
0.021,-0.044,-9.863
0.032,-0.047,-9.83
-0.012,0.006,-9.873
0.013,-0.012,-9.904
0.021,-0.013,-9.881
0.025,-0.05,-9.846
0.039,-0.069,-9.866
-0.017,-0.025,-9.878
0.026,-0.06,-9.878
0.032,-0.04,-9.898
0.005,-0.025,-9.853
0.032,-0.05,-9.903
0.026,-0.047,-9.943
0.03,-0.043,-9.837
0.026,-0.027,-9.851
0.013,-0.01,-9.867
0.022,-0.037,-9.856
0.013,-0.001,-9.907
0.006,-0.013,-9.879
0,-0.018,-9.867
0.015,-0.035,-9.846
0.02,0.006,-9.843
0.016,-0.035,-9.832
-0.027,0.026,-9.904
0.005,-0.016,-9.837
0.02,-0.026,-9.858
0.025,-0.019,-9.878
0.014,-0.04,-9.848
0.043,-0.075,-9.834
0,-0.007,-9.908
0.016,-0.013,-9.884
0.017,-0.013,-9.851
0.009,-0.022,-9.879
0.016,-0.017,-9.867
0.024,-0.076,-9.839
0.052,-0.097,-9.857
0.017,-0.025,-9.889
-0.009,-0.014,-9.858
0.01,-0.027,-9.84
0.032,-0.082,-9.883
0.067,-0.079,-9.901
0.04,-0.05,-9.875
0.033,-0.061,-9.885
-0.02,0.035,-9.885
-0.002,-0.031,-9.875
0.009,-0.023,-9.849
-0.004,0.006,-9.873
0.042,-0.038,-9.832
0.002,-0.015,-9.831
0.011,0.004,-9.818
0.008,-0.037,-9.857
0.004,-0.004,-9.898
0.008,-0.021,-9.829
0.054,-0.076,-9.91
0.03,-0.049,-9.94
0.032,-0.044,-9.91
0.025,-0.07,-9.914
0.046,-0.037,-9.875
-0.003,-0.028,-9.847
0.012,-0.02,-9.83
0.044,-0.077,-9.855
0.018,-0.015,-9.885
0.007,-0.023,-9.859
0.016,-0.013,-9.861
0,-0.023,-9.862
0.014,-0.006,-9.867
0.008,-0.054,-9.849
0.025,-0.045,-9.931
0.023,-0.034,-9.856
0.04,-0.053,-9.889
0.025,-0.032,-9.852
0.033,-0.036,-9.886
0.023,-0.031,-9.838
0.028,-0.065,-9.899
0.009,-0.046,-9.887
0.007,-0.007,-9.844
-0.009,-0.016,-9.893
0.003,0.019,-9.849
0.005,-0.023,-9.864
-0.001,0.004,-9.905
0.002,-0.034,-9.863
-0.016,-0.004,-9.851
0.016,-0.028,-9.896
0.023,-0.017,-9.83
0.012,-0.055,-9.898
0.018,-0.027,-9.815
0.018,-0.039,-9.909
0.009,-0.008,-9.886
0.044,-0.054,-9.86
0.047,-0.056,-9.841
0.014,-0.042,-9.899
0.025,-0.055,-9.857
0.017,-0.046,-9.837
0.022,-0.027,-9.843
-0.012,0.002,-9.89
0.029,-0.01,-9.91
0.008,-0.031,-9.864
0.027,-0.029,-9.879
0.031,-0.073,-9.86
0.009,0.006,-9.943
0.048,-0.06,-9.97
0.019,-0.019,-9.877
0.029,-0.038,-9.845
0.033,-0.057,-9.87
0.031,-0.072,-9.825
0.007,0.01,-9.849
0.037,-0.037,-9.851
0.003,0.006,-9.851
0.045,-0.06,-9.902
-0.005,0.012,-9.848
0.021,-0.037,-9.859
0.031,-0.054,-9.885
-0.032,0.019,-9.868
-0.007,-0.009,-9.91
0.024,-0.046,-9.885
0.025,-0.018,-9.876
0.047,-0.067,-9.834
0.035,-0.048,-9.823
0.005,-0.015,-9.873
0.031,-0.069,-9.886
0.005,-0.018,-9.78
0.029,-0.039,-9.871
0.017,-0.036,-9.85
0.037,-0.048,-9.845
0.015,-0.026,-9.816
0.026,-0.038,-9.878
0.032,-0.055,-9.896
0.026,-0.047,-9.846
0.011,-0.026,-9.867
-0.005,0.005,-9.904
0.014,-0.035,-9.908
-0.008,0.023,-9.814
0.014,-0.054,-9.91
0.01,0.009,-9.803
0.034,-0.073,-9.83
0.01,-0.022,-9.902
-0.005,-0.017,-9.859
-0.003,0.002,-9.794
0.001,0.005,-9.838
0.022,-0.016,-9.845
0.01,-0.051,-9.88
0.038,-0.042,-9.904
0.035,-0.061,-9.883
0.037,-0.051,-9.855
-0.015,0.02,-9.818
0.029,-0.034,-9.864
-0.019,0.028,-9.863
0.013,-0.017,-9.861
0.024,-0.045,-9.893
0.036,-0.055,-9.878
-0.006,0.026,-9.883
0.034,-0.026,-9.824
-0.017,-0.005,-9.892
0.036,-0.051,-9.87
0.042,-0.086,-9.864
0.004,-0.024,-9.895
-0.012,-0.011,-9.865
0.035,-0.026,-9.875
0.024,-0.056,-9.819
0.031,-0.028,-9.871
0.004,-0.027,-9.893
0.02,-0.007,-9.816
0.033,-0.059,-9.846
0.033,-0.007,-9.872
0.011,-0.011,-9.847
-0.011,-0.003,-9.862
0.001,-0.003,-9.871
0.03,-0.031,-9.847
0.001,-0.021,-9.877
0.009,-0.009,-9.836
0.047,-0.072,-9.91
0.008,-0.018,-9.895
-0.022,0.019,-9.888
0.026,-0.022,-9.836
0.015,-0.027,-9.877
0.037,-0.046,-9.894
0.037,-0.056,-9.855
0.017,-0.041,-9.895
-0.008,-0.023,-9.824
0.011,0.013,-9.834
0.007,-0.022,-9.89
0.027,-0.03,-9.882
0.051,-0.077,-9.872
0.034,-0.054,-9.897
0.014,-0.044,-9.9
-0.007,-0.003,-9.879
0.03,-0.028,-9.827
0.031,-0.043,-9.869
0.019,-0.021,-9.891
0.015,-0.026,-9.851
0.028,-0.054,-9.864
0.035,-0.039,-9.855
-0.001,-0.009,-9.837
0.014,-0.018,-9.82
0.033,-0.062,-9.871
0.019,-0.002,-9.89
-0.03,0.046,-9.937
0.008,-0.029,-9.864
0.004,-0.02,-9.859
0.023,-0.032,-9.888
0.016,-0.045,-9.893
0.022,-0.056,-9.873
